street_address,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,interest_level
 485 AMSTERDAM AVENUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 516 east 11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 6039 Bleecker Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 805 Columbus Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 90 West Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" 96 Fifth Ave, Apt 5K",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Amsterdam Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Bleecker Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Columbus Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 44th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 58 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 91st St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Horatio Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Manhattan Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Second Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Third Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 103 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 105 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 13 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 151 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 45 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 47 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 50 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 53 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 75 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 81 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 west 17 st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... East 23rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... Park Avenue South,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... Rector Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... Wall Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... West 48th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
... West 49th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1  Jane Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1  West,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Arden Street,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1 Astor Pl,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"1 Astor Pl,",1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Astor Pl.,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1 Astor Place,74,74,74,74,74,74,74,74,74,74,74,74,74,74
1 Bank Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Battery Place,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 COLUMBUS PLACE,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Central Park South,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Columbus Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Columbus Place,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1 Duffield St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Duffield Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Duffield Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Duffield street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 E 93rd St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Essex Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Hanson Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Hanson place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Harborside Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Jane St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Jane St #3E,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Jane St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Jane Street,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1 Lincoln Plaza,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Main Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1 Morningside Drive,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1 North  4th Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 North 4th Pl,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 North 4th Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Northside Piers,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Ocean W,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Perry St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Perry Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1 Prospect Park SW,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 River Court,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1 River Place,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1 Sickles Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 South Elliot Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 St Paul's Court,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 UNION SQUARE SOUTH,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Union Sq S,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 Union Square South,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1 Union Square South 15K,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1 University Pl,",2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 University Place,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1 W 182 Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 W St,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1 WEST ST ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Wall St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 Wall Street Court,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 West ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West 100th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West St,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1 West St.,79,79,79,79,79,79,79,79,79,79,79,79,79,79
1 West St. (1BDRM1917_Flex3Bdrm),1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West Street,119,119,119,119,119,119,119,119,119,119,119,119,119,119
1 West Street #1917,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West Street #2127,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West Street #2439,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West Street #2711,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West Street - #2311,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 West street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 duffield street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 duffield street brooklyn,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 perry st.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 west,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 west ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 west st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 west st ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 west st.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 west st. ,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1 west street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 west street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-9 Seaman Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 5th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 BARCLAY Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Barclay St,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10 Barclay St.,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10 Barclay Street,35,35,35,35,35,35,35,35,35,35,35,35,35,35
10 Barclay street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Charles Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 City Point,13,13,13,13,13,13,13,13,13,13,13,13,13,13
10 Claver Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Clermont Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Downing St,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Downing St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 Downing Street,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10 Downing Street.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 E 29 St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 E 29 Street,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 E 29th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 E 29th St.,19,19,19,19,19,19,19,19,19,19,19,19,19,19
10 East 13th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 East 29TH Street,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 East 29th Street,26,26,26,26,26,26,26,26,26,26,26,26,26,26
10 HANOVER SQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 HANOVER SQUARE,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 Hanover,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Hanover Sq,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover Sq. (stdo_HO_4I or 8B_Flex2BDRM) 667 sqft. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover Square,83,83,83,83,83,83,83,83,83,83,83,83,83,83
10 Hanover Square,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover Square ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover Square #11F,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover Square #12M,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hanover sq,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10 Hanover square,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Hillside Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 JONES Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Jones St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 Jones St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Jones Street,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10 LIBERTY Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Liberty St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Liberty St.,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10 Liberty Street,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Manhattan Avenue,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Park Ter E,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Park Ter E ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 Park Terrace East,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10 River Road,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 Rutgers St.,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Rutgers St. #8a,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Rutgers Street,16,16,16,16,16,16,16,16,16,16,16,16,16,16
10 Rutgers Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Sheridan Square,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 Spruce Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Station Square,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 W 103rd St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 W 107th St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10 W 135 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 W 135th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 W 135th St #12U,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 W 135th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 W 74 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 W 74 Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 Waterside Plaza,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10 West 103rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 West 135th Street,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10 West 74th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 West 74th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 West 74th Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10 West 74th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 West 75th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 West 87th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 hanover sq ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 hanover square,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 waterside plaza,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-15 Seneca Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-16 Manhattan Avenue,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10-40 River Rd,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10-40 River Rd.,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10-40 River Road,11,11,11,11,11,11,11,11,11,11,11,11,11,11
100  Allen St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100  Water,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100 Avenue P,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Beekman Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Broadway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Broadway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Charles Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Dupont St,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"100 E 37th St,",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100 E 38th St,",2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 East 50th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 Jane St.,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100 Jane Street,16,16,16,16,16,16,16,16,16,16,16,16,16,16
100 Jay Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100 John,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100 John St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 John St.,40,40,40,40,40,40,40,40,40,40,40,40,40,40
100 John St. (STDO1413_Flex2bdrm) 618 sqft.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John Street,115,115,115,115,115,115,115,115,115,115,115,115,115,115
100 John Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John Street #1411,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John Street #1612,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John Street #2303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 John street ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 Lefferts Avenue,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100 Luquer Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 MAIDEN LANE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100 Maiden La,7,7,7,7,7,7,7,7,7,7,7,7,7,7
100 Maiden Lane,131,131,131,131,131,131,131,131,131,131,131,131,131,131
100 Maiden Lane,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden Lane ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 Maiden Lane #1610,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 Maiden Lane #1809,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden Lane #2306,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden Lane #525,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden Lane #803,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Maiden Ln,8,8,8,8,8,8,8,8,8,8,8,8,8,8
100 Maiden Ln,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Riverside Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Saint Marks Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 South 4th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100 Sullivan Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Thayer Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 W 113 Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100 W 26th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 W 80th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Water,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100 West 118th St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 West 26th Street,23,23,23,23,23,23,23,23,23,23,23,23,23,23
100 West 31st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 West 39th Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100 West 93rd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 West 94th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 Willoughby St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Willoughby Street,8,8,8,8,8,8,8,8,8,8,8,8,8,8
100 Willoughby st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 Wooster Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100 john st. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 maiden lane,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100 maiden lane ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100 w 113,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100-25 Queens Blvd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000 Dean Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000 Park Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1001 E 57th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1002 Bushwick Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1002 Bushwick Ave ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1002 Bushwick Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1007 Second Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1009 E 37th St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 Bedford Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 Bedford Ave.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 Bedford Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"101 Bedford Avenue Brooklyn, N.Y. 11211",1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 Charles Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101 Clinton St.,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101 Clinton Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 Cooper Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 E 86th St.,6,6,6,6,6,6,6,6,6,6,6,6,6,6
101 East 10th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101 Lafayette Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 MacDougal Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 Macdougal Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 Ocean Parkway,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 Prospect Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 Thompson Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 15th St.,10,10,10,10,10,10,10,10,10,10,10,10,10,10
101 W 55 Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 W 55th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 55th St.,10,10,10,10,10,10,10,10,10,10,10,10,10,10
101 W 67th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 75th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 77 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 77th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 86th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W 90 St.,29,29,29,29,29,29,29,29,29,29,29,29,29,29
101 W 90th St,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101 W 90th St.,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101 W. 15th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W. 55th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 W. 90th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 Washington Boulevard,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101 West 12th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 West 15th Street,19,19,19,19,19,19,19,19,19,19,19,19,19,19
101 West 25th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 West 55th Street,16,16,16,16,16,16,16,16,16,16,16,16,16,16
101 West 73rd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 West 74th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 West 77th Street,7,7,7,7,7,7,7,7,7,7,7,7,7,7
101 West 87th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101 West 90th Street,16,16,16,16,16,16,16,16,16,16,16,16,16,16
101 West END Avenue,5,5,5,5,5,5,5,5,5,5,5,5,5,5
101 West End Ave.,10,10,10,10,10,10,10,10,10,10,10,10,10,10
101 West End Avenue,35,35,35,35,35,35,35,35,35,35,35,35,35,35
101 west 18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101-109 Bedford Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101-24 Queens Blvd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1011 Hart St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1012-18 Decatur Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1014 Park Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1015 Fulton Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1015 Saint Johns Place,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1016 Union Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 Albemarle Rd,5,5,5,5,5,5,5,5,5,5,5,5,5,5
102 Albemarle Rd.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102 Albemarle Road,6,6,6,6,6,6,6,6,6,6,6,6,6,6
102 CONVENT AVENUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 Convent Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 Convent Avenue,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102 E 103 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 E 31st St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 E 7th St.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102 East 103rd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102 East 7th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102 Greenwich Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102 Norfolk Street,7,7,7,7,7,7,7,7,7,7,7,7,7,7
102 Rogers Ave,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102 Saint Marks Place,6,6,6,6,6,6,6,6,6,6,6,6,6,6
