longitude,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,manager_id,photos,price,street_address,interest_level
-74.0161,42,42,42,42,42,42,42,42,42,42,42,42,42,42
-74.016,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0159,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0158,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0157,42,42,42,42,42,42,42,42,42,42,42,42,42,42
-74.0156,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-74.0155,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-74.0154,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0152,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0151,43,43,43,43,43,43,43,43,43,43,43,43,43,43
-74.015,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0149,244,244,244,244,244,244,244,244,244,244,244,244,244,244
-74.0148,137,137,137,137,137,137,137,137,137,137,137,137,137,137
-74.0147,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0146,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0145,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-74.0144,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-74.0143,80,80,80,80,80,80,80,80,80,80,80,80,80,80
-74.0142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0141,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0139,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0138,25,25,25,25,25,25,25,25,25,25,25,25,25,25
-74.0137,13,13,13,13,13,13,13,13,13,13,13,13,13,13
-74.0136,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.0135,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0134,24,24,24,24,24,24,24,24,24,24,24,24,24,24
-74.0133,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0132,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0131,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0129,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0128,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0127,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0126,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-74.0125,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0124,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-74.0123,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-74.0122,66,66,66,66,66,66,66,66,66,66,66,66,66,66
-74.012,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0119,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0118,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0117,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.0116,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0115,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0114,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0113,65,65,65,65,65,65,65,65,65,65,65,65,65,65
-74.0112,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-74.0111,72,72,72,72,72,72,72,72,72,72,72,72,72,72
-74.011,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-74.0109,101,101,101,101,101,101,101,101,101,101,101,101,101,101
-74.0108,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0107,13,13,13,13,13,13,13,13,13,13,13,13,13,13
-74.0106,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-74.0105,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0104,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-74.0103,60,60,60,60,60,60,60,60,60,60,60,60,60,60
-74.0102,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-74.0101,71,71,71,71,71,71,71,71,71,71,71,71,71,71
-74.01,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-74.0099,86,86,86,86,86,86,86,86,86,86,86,86,86,86
-74.0098,11,11,11,11,11,11,11,11,11,11,11,11,11,11
-74.0097,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-74.0096,79,79,79,79,79,79,79,79,79,79,79,79,79,79
-74.0095,109,109,109,109,109,109,109,109,109,109,109,109,109,109
-74.0094,26,26,26,26,26,26,26,26,26,26,26,26,26,26
-74.0093,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0092,33,33,33,33,33,33,33,33,33,33,33,33,33,33
-74.0091,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-74.009,17,17,17,17,17,17,17,17,17,17,17,17,17,17
-74.0089,129,129,129,129,129,129,129,129,129,129,129,129,129,129
-74.0088,67,67,67,67,67,67,67,67,67,67,67,67,67,67
-74.0087,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-74.0086,91,91,91,91,91,91,91,91,91,91,91,91,91,91
-74.0085,45,45,45,45,45,45,45,45,45,45,45,45,45,45
-74.0084,50,50,50,50,50,50,50,50,50,50,50,50,50,50
-74.0083,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0082,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0081,45,45,45,45,45,45,45,45,45,45,45,45,45,45
-74.008,73,73,73,73,73,73,73,73,73,73,73,73,73,73
-74.0079,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-74.0078,33,33,33,33,33,33,33,33,33,33,33,33,33,33
-74.0077,47,47,47,47,47,47,47,47,47,47,47,47,47,47
-74.0076,127,127,127,127,127,127,127,127,127,127,127,127,127,127
-74.0075,18,18,18,18,18,18,18,18,18,18,18,18,18,18
-74.0074,11,11,11,11,11,11,11,11,11,11,11,11,11,11
-74.0073,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0072,126,126,126,126,126,126,126,126,126,126,126,126,126,126
-74.0071,40,40,40,40,40,40,40,40,40,40,40,40,40,40
-74.007,19,19,19,19,19,19,19,19,19,19,19,19,19,19
-74.0069,136,136,136,136,136,136,136,136,136,136,136,136,136,136
-74.0068,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0067,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0066,45,45,45,45,45,45,45,45,45,45,45,45,45,45
-74.0065,156,156,156,156,156,156,156,156,156,156,156,156,156,156
-74.0064,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-74.0063,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-74.0062,11,11,11,11,11,11,11,11,11,11,11,11,11,11
-74.0061,20,20,20,20,20,20,20,20,20,20,20,20,20,20
-74.006,18,18,18,18,18,18,18,18,18,18,18,18,18,18
-74.0059,204,204,204,204,204,204,204,204,204,204,204,204,204,204
-74.0058,41,41,41,41,41,41,41,41,41,41,41,41,41,41
-74.0057,99,99,99,99,99,99,99,99,99,99,99,99,99,99
-74.0056,63,63,63,63,63,63,63,63,63,63,63,63,63,63
-74.0055,177,177,177,177,177,177,177,177,177,177,177,177,177,177
-74.0054,50,50,50,50,50,50,50,50,50,50,50,50,50,50
-74.0053,64,64,64,64,64,64,64,64,64,64,64,64,64,64
-74.0052,31,31,31,31,31,31,31,31,31,31,31,31,31,31
-74.0051,44,44,44,44,44,44,44,44,44,44,44,44,44,44
-74.005,39,39,39,39,39,39,39,39,39,39,39,39,39,39
-74.0049,41,41,41,41,41,41,41,41,41,41,41,41,41,41
-74.0048,41,41,41,41,41,41,41,41,41,41,41,41,41,41
-74.0047,182,182,182,182,182,182,182,182,182,182,182,182,182,182
-74.0046,222,222,222,222,222,222,222,222,222,222,222,222,222,222
-74.0045,43,43,43,43,43,43,43,43,43,43,43,43,43,43
-74.0044,105,105,105,105,105,105,105,105,105,105,105,105,105,105
-74.0043,34,34,34,34,34,34,34,34,34,34,34,34,34,34
-74.0042,85,85,85,85,85,85,85,85,85,85,85,85,85,85
-74.0041,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.004,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-74.0039,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0038,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-74.0037,33,33,33,33,33,33,33,33,33,33,33,33,33,33
-74.0036,109,109,109,109,109,109,109,109,109,109,109,109,109,109
-74.0035,87,87,87,87,87,87,87,87,87,87,87,87,87,87
-74.0034,17,17,17,17,17,17,17,17,17,17,17,17,17,17
-74.0033,18,18,18,18,18,18,18,18,18,18,18,18,18,18
-74.0032,44,44,44,44,44,44,44,44,44,44,44,44,44,44
-74.0031,48,48,48,48,48,48,48,48,48,48,48,48,48,48
-74.003,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-74.0029,48,48,48,48,48,48,48,48,48,48,48,48,48,48
-74.0028,45,45,45,45,45,45,45,45,45,45,45,45,45,45
-74.0027,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-74.0026,71,71,71,71,71,71,71,71,71,71,71,71,71,71
-74.0025,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-74.0024,20,20,20,20,20,20,20,20,20,20,20,20,20,20
-74.0023,47,47,47,47,47,47,47,47,47,47,47,47,47,47
-74.0022,47,47,47,47,47,47,47,47,47,47,47,47,47,47
-74.0021,31,31,31,31,31,31,31,31,31,31,31,31,31,31
-74.002,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-74.0019,95,95,95,95,95,95,95,95,95,95,95,95,95,95
-74.0018,82,82,82,82,82,82,82,82,82,82,82,82,82,82
-74.0017,36,36,36,36,36,36,36,36,36,36,36,36,36,36
-74.0016,73,73,73,73,73,73,73,73,73,73,73,73,73,73
-74.0015,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-74.0014,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-74.0013,41,41,41,41,41,41,41,41,41,41,41,41,41,41
-74.0012,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-74.0011,32,32,32,32,32,32,32,32,32,32,32,32,32,32
-74.001,26,26,26,26,26,26,26,26,26,26,26,26,26,26
-74.0009,70,70,70,70,70,70,70,70,70,70,70,70,70,70
-74.0008,62,62,62,62,62,62,62,62,62,62,62,62,62,62
-74.0007,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0006,28,28,28,28,28,28,28,28,28,28,28,28,28,28
-74.0005,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-74.0004,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-74.0003,37,37,37,37,37,37,37,37,37,37,37,37,37,37
-74.0002,85,85,85,85,85,85,85,85,85,85,85,85,85,85
-74.0001,45,45,45,45,45,45,45,45,45,45,45,45,45,45
-74.0,65,65,65,65,65,65,65,65,65,65,65,65,65,65
-73.9999,111,111,111,111,111,111,111,111,111,111,111,111,111,111
-73.9998,80,80,80,80,80,80,80,80,80,80,80,80,80,80
-73.9997,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-73.9996,29,29,29,29,29,29,29,29,29,29,29,29,29,29
-73.9995,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-73.9994,72,72,72,72,72,72,72,72,72,72,72,72,72,72
-73.9993,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-73.9992,27,27,27,27,27,27,27,27,27,27,27,27,27,27
-73.9991,19,19,19,19,19,19,19,19,19,19,19,19,19,19
-73.999,108,108,108,108,108,108,108,108,108,108,108,108,108,108
-73.9989,83,83,83,83,83,83,83,83,83,83,83,83,83,83
-73.9988,17,17,17,17,17,17,17,17,17,17,17,17,17,17
-73.9987,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-73.9986,37,37,37,37,37,37,37,37,37,37,37,37,37,37
-73.9985,21,21,21,21,21,21,21,21,21,21,21,21,21,21
-73.9984,80,80,80,80,80,80,80,80,80,80,80,80,80,80
-73.9983,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9982,292,292,292,292,292,292,292,292,292,292,292,292,292,292
-73.9981,97,97,97,97,97,97,97,97,97,97,97,97,97,97
-73.998,20,20,20,20,20,20,20,20,20,20,20,20,20,20
-73.9979,47,47,47,47,47,47,47,47,47,47,47,47,47,47
-73.9978,164,164,164,164,164,164,164,164,164,164,164,164,164,164
-73.9977,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9976,28,28,28,28,28,28,28,28,28,28,28,28,28,28
-73.9975,27,27,27,27,27,27,27,27,27,27,27,27,27,27
-73.9974,28,28,28,28,28,28,28,28,28,28,28,28,28,28
-73.9973,67,67,67,67,67,67,67,67,67,67,67,67,67,67
-73.9972,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-73.9971,39,39,39,39,39,39,39,39,39,39,39,39,39,39
-73.997,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-73.9969,34,34,34,34,34,34,34,34,34,34,34,34,34,34
-73.9968,85,85,85,85,85,85,85,85,85,85,85,85,85,85
-73.9967,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-73.9966,13,13,13,13,13,13,13,13,13,13,13,13,13,13
-73.9965,69,69,69,69,69,69,69,69,69,69,69,69,69,69
-73.9964,145,145,145,145,145,145,145,145,145,145,145,145,145,145
-73.9963,130,130,130,130,130,130,130,130,130,130,130,130,130,130
-73.9962,121,121,121,121,121,121,121,121,121,121,121,121,121,121
-73.9961,67,67,67,67,67,67,67,67,67,67,67,67,67,67
-73.996,50,50,50,50,50,50,50,50,50,50,50,50,50,50
-73.9959,133,133,133,133,133,133,133,133,133,133,133,133,133,133
-73.9958,123,123,123,123,123,123,123,123,123,123,123,123,123,123
-73.9957,55,55,55,55,55,55,55,55,55,55,55,55,55,55
-73.9956,76,76,76,76,76,76,76,76,76,76,76,76,76,76
-73.9955,46,46,46,46,46,46,46,46,46,46,46,46,46,46
-73.9954,27,27,27,27,27,27,27,27,27,27,27,27,27,27
-73.9953,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9952,19,19,19,19,19,19,19,19,19,19,19,19,19,19
-73.9951,29,29,29,29,29,29,29,29,29,29,29,29,29,29
-73.995,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-73.9949,87,87,87,87,87,87,87,87,87,87,87,87,87,87
-73.9948,34,34,34,34,34,34,34,34,34,34,34,34,34,34
-73.9947,96,96,96,96,96,96,96,96,96,96,96,96,96,96
-73.9946,80,80,80,80,80,80,80,80,80,80,80,80,80,80
-73.9945,82,82,82,82,82,82,82,82,82,82,82,82,82,82
-73.9944,153,153,153,153,153,153,153,153,153,153,153,153,153,153
-73.9943,15,15,15,15,15,15,15,15,15,15,15,15,15,15
-73.9942,135,135,135,135,135,135,135,135,135,135,135,135,135,135
-73.9941,46,46,46,46,46,46,46,46,46,46,46,46,46,46
-73.994,46,46,46,46,46,46,46,46,46,46,46,46,46,46
-73.9939,70,70,70,70,70,70,70,70,70,70,70,70,70,70
-73.9938,112,112,112,112,112,112,112,112,112,112,112,112,112,112
-73.9937,44,44,44,44,44,44,44,44,44,44,44,44,44,44
-73.9936,48,48,48,48,48,48,48,48,48,48,48,48,48,48
-73.9935,82,82,82,82,82,82,82,82,82,82,82,82,82,82
-73.9934,55,55,55,55,55,55,55,55,55,55,55,55,55,55
-73.9933,43,43,43,43,43,43,43,43,43,43,43,43,43,43
-73.9932,26,26,26,26,26,26,26,26,26,26,26,26,26,26
-73.9931,31,31,31,31,31,31,31,31,31,31,31,31,31,31
-73.993,51,51,51,51,51,51,51,51,51,51,51,51,51,51
-73.9929,120,120,120,120,120,120,120,120,120,120,120,120,120,120
-73.9928,63,63,63,63,63,63,63,63,63,63,63,63,63,63
-73.9927,106,106,106,106,106,106,106,106,106,106,106,106,106,106
-73.9926,31,31,31,31,31,31,31,31,31,31,31,31,31,31
-73.9925,40,40,40,40,40,40,40,40,40,40,40,40,40,40
-73.9924,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9923,24,24,24,24,24,24,24,24,24,24,24,24,24,24
-73.9922,142,142,142,142,142,142,142,142,142,142,142,142,142,142
-73.9921,24,24,24,24,24,24,24,24,24,24,24,24,24,24
-73.992,40,40,40,40,40,40,40,40,40,40,40,40,40,40
-73.9919,108,108,108,108,108,108,108,108,108,108,108,108,108,108
-73.9918,80,80,80,80,80,80,80,80,80,80,80,80,80,80
-73.9917,126,126,126,126,126,126,126,126,126,126,126,126,126,126
-73.9916,144,144,144,144,144,144,144,144,144,144,144,144,144,144
-73.9915,142,142,142,142,142,142,142,142,142,142,142,142,142,142
-73.9914,95,95,95,95,95,95,95,95,95,95,95,95,95,95
-73.9913,72,72,72,72,72,72,72,72,72,72,72,72,72,72
-73.9912,43,43,43,43,43,43,43,43,43,43,43,43,43,43
-73.9911,20,20,20,20,20,20,20,20,20,20,20,20,20,20
-73.991,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-73.9909,79,79,79,79,79,79,79,79,79,79,79,79,79,79
-73.9908,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9907,32,32,32,32,32,32,32,32,32,32,32,32,32,32
-73.9906,25,25,25,25,25,25,25,25,25,25,25,25,25,25
-73.9905,81,81,81,81,81,81,81,81,81,81,81,81,81,81
-73.9904,60,60,60,60,60,60,60,60,60,60,60,60,60,60
-73.9903,119,119,119,119,119,119,119,119,119,119,119,119,119,119
-73.9902,74,74,74,74,74,74,74,74,74,74,74,74,74,74
-73.9901,177,177,177,177,177,177,177,177,177,177,177,177,177,177
-73.99,122,122,122,122,122,122,122,122,122,122,122,122,122,122
-73.9899,35,35,35,35,35,35,35,35,35,35,35,35,35,35
-73.9898,87,87,87,87,87,87,87,87,87,87,87,87,87,87
-73.9897,122,122,122,122,122,122,122,122,122,122,122,122,122,122
-73.9896,92,92,92,92,92,92,92,92,92,92,92,92,92,92
