display_address,bathrooms,bedrooms,building_id,created,description,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
 Classon Ave / Brooklyn ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Classon Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Clermont Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Clinton Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Columbus Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Court St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Court Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Dekalb Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Duane street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Duffield Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E  89 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 101 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 102 ST / LEXINGTON AVE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 105 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 11th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 11th  Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 E 11th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 13th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 2 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 20's,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 25th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 25th St. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 26 st.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 27th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 34th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 39th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 3rd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 44th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 44th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 45,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 E 46th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 46th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 4th ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 51st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 53rd St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 54,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 70,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 70th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 71 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 73 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 76th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 78th St  between First and York  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 81,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 81 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 82nd St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 82nd Street and Second Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 83rd street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 84,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 85th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 88 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 91 street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E 91st,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 E 91st St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 E 95th St. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 E. 58th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 EAST 13TH STREET,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 EAST 61,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 EAST 71 NO FEE 3BR/FLEX 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 10th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 116 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 14th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 16th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 18th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 1st Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 East 1st Street Apt  9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 25th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 32nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 34,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 East 46th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 46th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 49th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 4th Street,9,9,9,9,9,9,9,9,9,9,9,9,9,9
 East 59th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 East 60 street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 63,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 63rd street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 72nd Street #6H,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 76th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 East 76th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 79th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 80th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" East 81st Street  New York, NY 10028",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 82 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 84th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 86th St. and Second Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 88th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 89th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 89th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 90,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 90th St. and Second Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 90th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 91 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" East 97th Street & Off Park Avenue , Upper East Side",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 East 9th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Eastern Parkway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Edgecombe Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Eight ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Eighth Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Emmons Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Engert Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Fifth Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 First Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Flatbush Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Foster Ave Brooklyn, NY 11226 ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Fourth Avenue,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 Fourth Avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Franklin Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ft Washington ave/Columbia Presbyterian Medical Center,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Gates Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Gold St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Gold St.,17,17,17,17,17,17,17,17,17,17,17,17,17,17
 Graham Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Grand St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Grand Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Greene Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Grove street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Halsey St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Hancock St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Hanover Square,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Hanover St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Harman Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Harrison St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Harrison Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Hart Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Hell's Kitchen, Midtown  West",3,3,3,3,3,3,3,3,3,3,3,3,3,3
" Hell's Kitchen, Midtown  West ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Hell's Kitchen, Midtown  West  ",2,2,2,2,2,2,2,2,2,2,2,2,2,2
" Hell's Kitchen, Midtown West",4,4,4,4,4,4,4,4,4,4,4,4,4,4
" Hell's Kitchen, Midtown West ",5,5,5,5,5,5,5,5,5,5,5,5,5,5
 Henry St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Herkimer Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Himrod Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Hooper Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Jane Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Java St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Jewel Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Kent Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Kent Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Kingston Ave.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
" Kips Bay, east 25th St",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Knickerbocker Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Lafayette Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Lenox Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Lexington Ave Btwn 65th and 66th St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Lexington Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Lincoln Square, Upper West Side,",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ludlow St.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 MAIDEN LANE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Macdougal Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Madison Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Madison Madison Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Maiden Lane ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Manhattan Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Meserole Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Midtown Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Midtown West, 6th Ave ",3,3,3,3,3,3,3,3,3,3,3,3,3,3
 Montague St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Mott St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Mott St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Mott Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Mott Street Soho,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Murray Hill, Midtown East",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 New York Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Newkirk Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ninth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ninth Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Norfolk St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Nostrand Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ocean Parkway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Orchard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Palmetto Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Park Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Park Place Brooklyn, NY ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Park Terrace East,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Pearl ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Powers Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 President Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Prospect Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Pulaski Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Putnam Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Queens Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Reade Street Tribeca,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Richardson Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
" Richmond Hill, NY 11419  ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Riverside Dr,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Rivington Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Rockaway Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Rodney Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Ryerson Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 SPRUCE ST. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Sackman Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Second ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Seventh Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 St Paul's Court/ Prospect Parc South,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 St. Johns Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 St. Marks Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Sullivan St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Sutton Place, Midtown East",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Tenth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Thompson St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
" Turtle Bay, Midtown East, ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Union Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Upper East Side,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Upper East Side, 70's",2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Vermilyea Avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Vernon Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 101st St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 109TH ST ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 13 St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 133rd St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 135th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 136th,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 W 138th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 139th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 13th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 13th St and Eighth Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 13th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 144th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 149th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 14th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 160 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 164th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 175th St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 W 187 street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 188th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 22 street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 29 street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 37th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 45th St. and Ninth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 48th St. and Ninth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 52nd St.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 W 54 st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 58,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 62 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 67 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 73rd St ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 W 75 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 81 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W 94th St. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 W. 62nd St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 WALL ST.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 WALL STREET,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 WEST 68,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 WEST 75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 WEST END AVE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Wall street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Washington Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Washington St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Washington Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Washington st. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Washington street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Water,4,4,4,4,4,4,4,4,4,4,4,4,4,4
 Weirfield Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 109th St. and Columbus Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 109th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 10th ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 14 / 7th Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 151 st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 177th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 17th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 19 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 22nd St. and 7th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 23rd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 West 29th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 42nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 48 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 49th St. and Ninth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 49th St. and Tenth Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 49th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 51st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 55th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 68th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 69th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 73rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 84 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 89th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West 97st ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 West street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Williamsburg -Meeker Ave and Skillman!,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Willoughby Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 York Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 York ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Yorkville, Upper East Side, ",2,2,2,2,2,2,2,2,2,2,2,2,2,2
" bleecker street, west village",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 broad st.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 broadway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 church ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 cliff st. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 convent ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 18 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 49 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 54th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 65,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 65 street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 66,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 75th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 80th ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 81,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 83 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 8th ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 8th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 90,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 e 91,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 east 25th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 east 5th ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 gold st ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 gold st.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 gold st. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 grove street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 grove street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 hanover square,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 john st. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 lispenard street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 manhattan ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 morton street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 orchard st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 second ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 sherman ave and Broadway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 sullivan street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 third ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 union street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
